,Total Drones,Active Drones,Collisions,Completed Deliveries,Avg Delivery Time [minutes],Deliveries Per Minute,Time Per Meter [seconds],Min Altitude,Mean Altitude,Max Altitude
0,40,10,0,0,0.0,0.0,0.0,10.0,12.5,15.0
1,40,10,0,0,0.0,0.0,0.0,15.0,17.5,20.0
2,40,10,0,0,0.0,0.0,0.0,20.0,22.5,25.0
3,40,10,0,0,0.0,0.0,0.0,25.0,27.5,30.0
4,40,10,0,0,0.0,0.0,0.0,30.0,32.5,35.0
5,40,10,0,0,0.0,0.0,0.0,35.0,37.5,40.0
6,40,10,0,0,0.0,0.0,0.0,40.0,42.49600568383057,45.18606738262571
7,40,10,0,0,0.0,0.0,0.0,44.855550554055846,47.428507379099244,50.248279332052846
8,40,10,0,0,0.0,0.0,0.0,49.841327681191345,52.44689858634391,56.2290908850232
9,40,13,0,0,0.0,0.0,0.0,10.0,43.6044253362022,56.042118033019136
10,40,19,0,0,0.0,0.0,0.0,10.0,34.8323207642461,56.47050134432885
11,40,20,0,0,0.0,0.0,0.0,10.0,36.130105736773366,55.92550143451214
12,40,20,0,0,0.0,0.0,0.0,15.0,38.855067291879855,55.977250169920524
13,40,20,0,0,0.0,0.0,0.0,20.0,40.92558984857343,57.56790637331903
14,40,20,0,0,0.0,0.0,0.0,25.0,44.5957104060333,61.30771306153133
15,40,20,0,0,0.0,0.0,0.0,30.0,45.80233875864769,61.31525701428829
16,40,20,0,0,0.0,0.0,0.0,35.0,51.00745654183042,77.10035639431055
17,40,20,0,0,0.0,0.0,0.0,40.0,53.6594871712111,78.10542323913208
18,40,20,0,0,0.0,0.0,0.0,45.12749585900486,56.3858149582572,78.28360704124805
19,40,23,0,0,0.0,0.0,0.0,10.0,51.543116139234705,79.37571765011403
20,40,27,0,0,0.0,0.0,0.0,10.0,46.417560724930986,79.19953147047454
21,40,29,0,0,0.0,0.0,0.0,10.0,45.57730825682481,79.20597427994099
22,40,30,0,0,0.0,0.0,0.0,10.0,45.8994465825961,80.27328321214672
23,40,30,0,0,0.0,0.0,0.0,15.0,46.72707760433187,80.39091452236477
24,40,30,0,0,0.0,0.0,0.0,20.0,48.778692220367674,80.22822724219466
25,40,30,0,0,0.0,0.0,0.0,25.0,51.45331782100515,80.30492839502423
26,40,30,0,0,0.0,0.0,0.0,30.0,53.26643110561608,80.19221359628958
27,40,30,0,0,0.0,0.0,0.0,28.84967684645615,54.340522043817444,77.19221359628958
28,40,30,0,0,0.0,0.0,0.0,25.84967684645615,56.13788520049118,77.87702534384418
29,40,32,0,0,0.0,0.0,0.0,10.0,54.444239956818194,78.90364989973719
30,40,38,0,0,0.0,0.0,0.0,10.0,47.936271216095314,80.78567664885462
31,40,38,0,0,0.0,0.0,0.0,15.0,48.20391968060095,80.63398924493583
32,40,39,0,0,0.0,0.0,0.0,10.0,49.01780624951525,81.53615933572304
33,40,40,0,0,0.0,0.0,0.0,10.0,49.36707438625948,81.37713220337243
34,40,40,0,0,0.0,0.0,0.0,9.0,50.04828905294063,79.27985612300608
35,40,40,0,0,0.0,0.0,0.0,9.0,52.41728745698042,80.51681651553528
36,40,40,0,0,0.0,0.0,0.0,14.0,53.475914855724454,81.3632198435268
37,40,40,0,0,0.0,0.0,0.0,19.0,54.73951782468309,81.46544621053197
38,40,40,0,0,0.0,0.0,0.0,19.326383904633957,55.13600410401648,78.58196756660165
39,40,40,0,0,0.0,0.0,0.0,16.326383904633957,55.7781542345633,81.55522471842035
40,40,40,0,0,0.0,0.0,0.0,13.326383904633957,55.856140162678386,78.77390156976493
41,40,40,0,0,0.0,0.0,0.0,10.326383904633957,57.16356129869452,82.38153718105711
42,40,40,0,0,0.0,0.0,0.0,9.0,58.12673760747204,91.16328127430947
43,40,40,0,0,0.0,0.0,0.0,9.0,57.25123352908226,79.90603401172301
44,40,40,0,0,0.0,0.0,0.0,14.0,58.03231833334625,86.15857297410905
45,40,40,0,0,0.0,0.0,0.0,15.332755161295836,57.915296970769155,91.8528648112936
46,40,40,0,0,0.0,0.0,0.0,12.332755161295836,58.87396160979023,91.72735001328054
47,40,40,0,0,0.0,0.0,0.0,9.332755161295836,59.08871296043984,91.58296146183152
48,40,40,0,0,0.0,0.0,0.0,9.332755161295836,58.49411199303778,91.50737034148368
49,40,40,0,0,0.0,0.0,0.0,11.192213596289577,59.266825452573585,92.63183485470825
50,40,40,0,0,0.0,0.0,0.0,9.0,59.43134869190277,92.63323958487904
51,40,40,0,0,0.0,0.0,0.0,9.0,59.80876058614975,92.71361403608581
52,40,40,0,0,0.0,0.0,0.0,14.0,59.10257034734847,91.49805854899788
53,40,40,0,0,0.0,0.0,0.0,19.0,58.789786442806005,91.56829333169037
54,40,40,0,0,0.0,0.0,0.0,17.739134649353232,60.486124806221184,91.47341674770854
55,40,40,0,0,0.0,0.0,0.0,14.739134649353232,60.43946570564957,91.9525123664768
56,40,40,0,0,0.0,0.0,0.0,11.739134649353232,61.533805174691324,92.9119874907757
57,40,40,0,0,0.0,0.0,0.0,9.0,61.501948397380374,93.04318323218118
58,40,40,0,0,0.0,0.0,0.0,9.0,60.638077090878355,92.95923255134866
59,40,40,0,0,0.0,0.0,0.0,10.305723215028138,59.23033872512559,92.83431341756929
60,40,40,0,0,0.0,0.0,0.0,9.0,58.98396871657256,92.77793557683887
61,40,40,0,0,0.0,0.0,0.0,9.0,59.952336400049354,92.86956492312869
62,40,40,0,0,0.0,0.0,0.0,14.0,60.153770574488625,93.47979199516028
63,40,40,0,0,0.0,0.0,0.0,11.424087694358633,59.050456190148,91.79421101905379
64,40,40,0,0,0.0,0.0,0.0,9.0,59.267483879734776,91.82573797553468
65,40,40,0,0,0.0,0.0,0.0,9.0,59.26535033877142,91.94990650972743
66,40,40,0,0,0.0,0.0,0.0,10.248986813332124,60.00756587085099,93.1641810536493
67,40,40,0,0,0.0,0.0,0.0,9.0,60.120949594842365,93.27246584087179
68,40,40,0,0,0.0,0.0,0.0,9.0,61.21184154001743,93.09273527873393
69,40,40,0,0,0.0,0.0,0.0,9.0,60.46395690748987,93.13824991144709
70,40,40,0,0,0.0,0.0,0.0,9.0,60.58987234409479,93.22177878705926
71,40,40,0,0,0.0,0.0,0.0,14.0,60.11404403565884,93.3482005337598
72,40,40,0,0,0.0,0.0,0.0,11.98569288105368,60.32758590809154,93.3872841278025
73,40,40,0,0,0.0,0.0,0.0,9.0,61.270214832065406,93.39627308477742
74,40,40,0,0,0.0,0.0,0.0,9.0,61.26995535316885,93.49591493585235
75,40,40,0,0,0.0,0.0,0.0,11.056687511204146,61.045982274847994,93.64520707343343
76,40,40,0,0,0.0,0.0,0.0,9.0,60.77727888864357,93.73546202760407
77,40,40,0,0,0.0,0.0,0.0,9.0,60.82260196439271,93.64292639569011
78,40,40,0,0,0.0,0.0,0.0,10.069192635420677,62.00870274759725,93.48254622383273
79,40,40,0,1,0.6,0.75,1.5,10.069192635420677,61.30039790654905,93.28602194570354
80,40,40,0,1,0.6,0.7407407407407407,1.5,9.0,61.35211353547106,93.41247888051925
81,40,40,0,1,0.6,0.7317073170731707,1.5,9.0,61.5254432354982,93.43430230719147
82,40,40,0,1,0.6,0.7228915662650602,1.5,14.0,61.383272711923894,93.6058579804994
83,40,40,0,1,0.6,0.7142857142857142,1.5,19.0,61.805585640857295,93.60619351456958
84,40,40,0,1,0.6,0.7058823529411764,1.5,24.0,61.91980746902567,93.77321340005385
85,40,40,0,1,0.6,0.6976744186046512,1.5,26.413020613933085,62.95243976253844,88.87677198781502
