,Total Drones,Active Drones,Collisions,Completed Deliveries,Avg Delivery Time [minutes],Deliveries Per Minute,Time Per Meter [seconds],Min Altitude,Mean Altitude,Max Altitude
0,25,10,0,0,0.0,0.0,0.0,10.0,12.0,15.0
1,25,10,0,0,0.0,0.0,0.0,15.0,17.0,20.0
2,25,10,0,0,0.0,0.0,0.0,20.0,22.0,25.0
3,25,10,0,0,0.0,0.0,0.0,25.0,27.0,30.0
4,25,10,0,0,0.0,0.0,0.0,30.0,32.0,35.0
5,25,10,0,0,0.0,0.0,0.0,35.0,37.0,40.0
6,25,10,0,0,0.0,0.0,0.0,40.0,42.07739425812404,45.905370372990504
7,25,10,0,0,0.0,0.0,0.0,31.1068580944344,45.67313674656545,50.802600170959465
8,25,10,0,0,0.0,0.0,0.0,36.1068580944344,50.59088432354,55.692610011047364
9,25,10,0,0,0.0,0.0,0.0,41.1068580944344,53.89801736777317,56.165396928410246
10,25,10,0,0,0.0,0.0,0.0,45.91506961752799,54.25061708554026,56.01354658906972
11,25,10,0,0,0.0,0.0,0.0,50.98597589923935,55.13172127353643,56.81301170935508
12,25,10,0,0,0.0,0.0,0.0,53.978336689223525,56.728211640054475,70.29876194355856
13,25,10,0,0,0.0,0.0,0.0,54.98384380625714,58.45977995674368,70.10126771699872
14,25,13,0,0,0.0,0.0,0.0,10.0,47.39431731415536,70.0905550550987
15,25,17,0,0,0.0,0.0,0.0,10.0,39.86987673669755,68.99498340714909
16,25,19,0,0,0.0,0.0,0.0,15.0,38.176770263570354,66.54122586447646
17,25,19,0,0,0.0,0.0,0.0,20.0,41.178062847533674,69.9673495695828
18,25,20,0,0,0.0,0.0,0.0,15.0,43.475884268209526,73.57570279394294
19,25,20,0,0,0.0,0.0,0.0,20.0,44.09856107867465,74.19177117028262
20,25,20,0,0,0.0,0.0,0.0,25.0,46.815083048479934,71.50854511597716
21,25,20,0,0,0.0,0.0,0.0,30.0,49.760479565052016,70.51113582883976
22,25,20,0,0,0.0,0.0,0.0,35.0,53.00670011071988,78.53832216205478
23,25,20,0,0,0.0,0.0,0.0,39.9265433034023,54.92471326649677,80.6706085879113
24,25,20,0,0,0.0,0.0,0.0,36.9265433034023,55.95749396021104,80.63685576578652
25,25,20,0,0,0.0,0.0,0.0,33.9265433034023,53.15373853059998,62.905297909038865
26,25,20,0,0,0.0,0.0,0.0,30.926543303402298,54.532825876560445,73.60429525272379
27,25,20,0,0,0.0,0.0,0.0,27.926543303402298,55.38990083899553,81.51187358534189
28,25,20,0,0,0.0,0.0,0.0,24.926543303402298,54.009041491371065,73.39108562048298
29,25,20,0,0,0.0,0.0,0.0,21.926543303402298,54.569891039922844,73.29490069683213
30,25,23,0,0,0.0,0.0,0.0,10.0,48.97675733501286,73.11445076244549
31,25,24,0,0,0.0,0.0,0.0,10.0,48.55260524319234,73.29616783448705
32,25,24,0,0,0.0,0.0,0.0,12.926543303402298,48.41099017723395,73.41397206086314
33,25,25,0,0,0.0,0.0,0.0,9.926543303402298,47.9008860507834,74.5921452865612
34,25,25,0,0,0.0,0.0,0.0,9.926543303402298,49.594447974520655,81.30520806387912
35,25,25,0,0,0.0,0.0,0.0,14.926543303402298,48.48217568422299,69.8909766741571
36,25,25,0,0,0.0,0.0,0.0,12.25562434100712,49.080570414342326,68.78943940782644
37,25,25,0,0,0.0,0.0,0.0,9.25562434100712,50.801315044445126,72.19770443121624
38,25,25,0,0,0.0,0.0,0.0,9.25562434100712,50.57472899303522,68.69160927928702
39,25,25,0,0,0.0,0.0,0.0,12.667627886523547,51.85411421547782,73.06171000774798
40,25,25,0,0,0.0,0.0,0.0,9.667627886523547,50.70113639645374,70.94231847648054
41,25,25,0,0,0.0,0.0,0.0,9.667627886523547,50.23982065329906,69.91295156819467
42,25,25,0,0,0.0,0.0,0.0,14.54265517430288,52.40873264525207,74.20153728743561
43,25,25,0,0,0.0,0.0,0.0,11.54265517430288,53.33218924939153,72.53190460840806
44,25,25,0,0,0.0,0.0,0.0,9.0,53.42780092581211,72.13042210297104
45,25,25,0,0,0.0,0.0,0.0,9.0,54.78405045603777,82.09541679132086
46,25,25,0,0,0.0,0.0,0.0,14.0,54.73410650182683,83.1637936734315
47,25,25,0,0,0.0,0.0,0.0,14.291623036766794,54.87288731705699,83.74805645138935
48,25,25,0,0,0.0,0.0,0.0,11.291623036766794,53.90287151734663,73.19609174059626
49,25,25,0,0,0.0,0.0,0.0,9.0,54.75442886046328,73.86432357401812
50,25,25,0,0,0.0,0.0,0.0,9.0,54.391918849004405,73.93676019725473
51,25,25,0,0,0.0,0.0,0.0,14.0,54.183535165054074,72.97638329534348
52,25,25,0,0,0.0,0.0,0.0,19.0,55.982024007308425,73.24043079150901
53,25,25,0,0,0.0,0.0,0.0,20.690958694861123,57.488585429096545,73.21700549295883
54,25,25,0,0,0.0,0.0,0.0,17.690958694861123,54.69412501934085,72.79205737027898
55,25,25,0,0,0.0,0.0,0.0,14.690958694861123,54.49009811388415,74.09397978532229
56,25,25,0,0,0.0,0.0,0.0,11.690958694861123,55.60632947815651,74.0530867124436
57,25,25,0,0,0.0,0.0,0.0,9.0,56.784034468756325,80.06976020330406
58,25,25,0,0,0.0,0.0,0.0,9.0,56.155475551465564,73.76303657511625
59,25,25,0,0,0.0,0.0,0.0,9.0,56.190866700687245,74.41175235143687
60,25,25,0,0,0.0,0.0,0.0,9.0,57.296305707734355,75.37727521864774
61,25,25,0,0,0.0,0.0,0.0,9.0,57.38923585681641,85.31197786686461
62,25,25,0,0,0.0,0.0,0.0,14.0,59.36217827164375,85.31714891163647
63,25,25,0,0,0.0,0.0,0.0,19.0,59.45035162095874,86.39873892059124
64,25,25,0,0,0.0,0.0,0.0,24.0,59.62631045391601,88.16079907951537
65,25,25,0,0,0.0,0.0,0.0,29.0,59.50243843107195,88.21539901145374
66,25,25,0,0,0.0,0.0,0.0,30.971765784784893,60.426270310860644,88.16347227480405
67,25,25,0,0,0.0,0.0,0.0,27.971765784784893,60.32956908192591,88.13781397122449
68,25,25,0,0,0.0,0.0,0.0,24.971765784784893,59.64856534505092,87.1703954090802
69,25,25,0,0,0.0,0.0,0.0,21.971765784784893,60.23376955588317,90.52205727660738
70,25,25,0,0,0.0,0.0,0.0,18.971765784784893,59.850526088573176,83.20218283730563
71,25,25,0,0,0.0,0.0,0.0,15.971765784784893,60.325236967613904,88.15030696825754
72,25,25,0,0,0.0,0.0,0.0,12.971765784784893,59.773444099520844,83.29784073283886
73,25,25,0,0,0.0,0.0,0.0,9.971765784784893,57.936978484735164,76.38810860903787
74,25,25,0,0,0.0,0.0,0.0,9.971765784784893,57.92150674215958,81.41873887282632
75,25,25,0,0,0.0,0.0,0.0,12.540736906774796,58.53425965167234,85.83568352410119
76,25,25,0,0,0.0,0.0,0.0,9.540736906774796,58.0517476192625,85.82882437683628
77,25,25,0,0,0.0,0.0,0.0,9.540736906774796,57.94333293197775,85.94258291209765
78,25,25,0,0,0.0,0.0,0.0,14.540736906774796,57.256756543568365,85.82233746074077
79,25,25,0,0,0.0,0.0,0.0,15.153666853642392,57.98935758401767,85.93955013302138
80,25,25,0,0,0.0,0.0,0.0,12.153666853642392,57.829140634120805,86.5946515498214
81,25,25,0,0,0.0,0.0,0.0,9.153666853642392,57.74014596733024,87.97517801798992
82,25,25,0,0,0.0,0.0,0.0,9.153666853642392,57.5083654514466,86.58015099479107
83,25,25,0,0,0.0,0.0,0.0,14.153666853642392,56.28677701003314,85.66770676084538
84,25,25,0,0,0.0,0.0,0.0,18.771367274635836,56.860559123995024,94.9635016351229
85,25,25,0,0,0.0,0.0,0.0,15.771367274635836,58.33721896541121,95.04298688550939
86,25,25,0,0,0.0,0.0,0.0,12.771367274635836,57.58378257102411,84.143602824712
87,25,25,0,0,0.0,0.0,0.0,9.771367274635836,56.82633924560125,82.09403231761068
88,25,25,0,0,0.0,0.0,0.0,9.771367274635836,55.443919763351616,81.23505950518754
89,25,25,0,0,0.0,0.0,0.0,14.063721051046826,55.01924047824584,81.43096107133756
90,25,25,0,0,0.0,0.0,0.0,11.063721051046826,54.580790713283434,81.5666687295424
91,25,25,0,0,0.0,0.0,0.0,9.5,54.01168241619657,81.65399948807338
92,25,25,0,1,0.85,0.6451612903225807,0.3805970149253731,9.0,53.19622004125576,80.847869866297
93,25,25,0,1,0.85,0.6382978723404256,0.3805970149253731,9.0,54.10605846795237,86.7353802767624
94,25,25,0,1,0.85,0.631578947368421,0.3805970149253731,11.935859641650197,53.67471359749126,83.80867370408797
95,25,25,0,1,0.85,0.625,0.3805970149253731,9.5,53.308616245083314,83.80307539642992
96,25,25,0,2,0.9416666666666667,1.2371134020618557,0.48917748917748916,9.0,52.673502348503526,85.5263050445938
97,25,25,0,2,0.9416666666666667,1.2244897959183672,0.48917748917748916,9.0,52.76417089308734,85.54334279265817
98,25,25,0,2,0.9416666666666667,1.2121212121212122,0.48917748917748916,10.238298944645834,51.86485950450347,85.45289470465005
99,25,25,0,2,0.9416666666666667,1.2,0.48917748917748916,9.0,52.51232673079477,87.10348756208228
100,25,25,0,2,0.9416666666666667,1.188118811881188,0.48917748917748916,9.0,52.60922987508986,86.91235771531721
